name,url,description
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…"
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,"Core Java (Entry Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class."
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,"Java 8 (New): Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals."
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…"
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Interpersonal Communications: This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage…
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Entry Level Sales Solution: The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have…
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Sales Representative Solution: The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or…
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Technical Sales Associate Solution: The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires…
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,"SVAR - Spoken English (Indian Accent)  (New): An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.     Your use of…"
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills."
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Enterprise Leadership Report 1.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Occupational Personality Questionnaire OPQ32r: The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world…"
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,OPQ Leadership Report: This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading…
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,OPQ Team Types and Leadership Styles Report: This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types…
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Enterprise Leadership Report 2.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Global Skills Assessment: The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most…
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"Verify - Verbal Ability - Next Generation: The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and…"
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL Verify Interactive - Inductive Reasoning: Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,"Marketing (New): Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management…"
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills."
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,"Drupal (New): Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security."
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,Written English v1: The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language…
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Occupational Personality Questionnaire OPQ32r: The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world…"
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,"Search Engine Optimization (New): Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links."
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,"Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…"
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,JavaScript (New): Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,HTML/CSS (New): Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,CSS3 (New): Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,"Selenium (New): Multi-choice test that measures the knowledge of Selenium IDE, Selenium RC, Selenium grid, web driver, test design considerations, user extensions, frameworks…"
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,"SQL Server (New): Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple…"
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,"Automata - SQL (New): A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks."
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,"Manual Testing (New): Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test…"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Verify - Numerical Ability: The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the…
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Financial Professional - Short Form: This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure…
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,General Entry Level – Data Entry 7.0 Solution: Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems…
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"Basic Computer Literacy (Windows 10) (New): The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform…"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Manager 8.0+ JFA: The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first…
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,"Microsoft Excel 365 - Essentials (New): The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the…"
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,"WriteX - Email Writing (Sales) (New): Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.     Your use…"
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL Verify Interactive Numerical Calculation: The Verify Interactive Numerical Calculation test measures a candidate’s ability to work with numbers and use appropriate mathematics in different situations…
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,"Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…"
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,"SQL Server Analysis Services (SSAS) (New): Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI…"
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,"Python (New): Multi-choice test that measures the knowledge of Python programming, databases, modules and library."
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,"Tableau (New): Multi-choice test that measures the knowledge of how to use Tableau to prepare tables, create visualizations, perform calculations, apply filters and carry out…"
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,"Microsoft Excel 365 (New): The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics…"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,"Professional + 7.0 Solution: Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…"
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,"Data Warehousing Concepts: The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and…"
